课程名称,选课人数,学校,老师
C++语言程序设计基础,424200,清华大学,郑莉、李超、徐明星
数据结构(上),410783,清华大学,邓俊辉
数据结构（下）,358574,清华大学,邓俊辉
Java程序设计,195257,清华大学,郑莉
操作系统,193059,清华大学,向勇、陈渝
网络技术与应用,175781,中国人民解放军陆军工程大学,沈鑫剡、俞海英、李兴德、许继恒、钱万正、徐海斌、魏涛、宋以胜
C++语言程序设计进阶,117467,清华大学,郑莉、李超、徐明星
C程序设计案例教程（基础）,113433,中国农业大学,张莉
C程序设计案例教程（进阶）,110253,中国农业大学,张莉
数据挖掘：理论与算法,107925,清华大学,袁博
大数据技术与应用,97955,清华大学,李军
软件工程,93732,清华大学,刘强、刘璘
计算机文化基础,83714,清华大学,李秀、姚瑞霞、安颖莲、全成斌
程序设计基础,80793,清华大学,徐明星、王瑀屏、邬晓钧
组合数学,74396,清华大学,马昱春
大数据系统基础,74247,清华大学,王建民、徐葳、陈康、陈文光
VC++面向对象与可视化程序设计（上）：Windows编程基础,69321,清华大学,黄维通
VC++面向对象与可视化程序设计（下）：MFC编程基础,67921,清华大学,黄维通
人工智能原理,63706,北京大学,王文敏
大数据平台核心技术,62951,清华大学,武永卫、姚文辉、陶阳宇、冯骁、谢德军
大学计算机教程,62258,中国农业大学,张莉、马钦
Web前端攻城狮,57698,清华大学,刘强、吴亮、赵文博
Office办公软件应用,57532,河北工业大学,史巧硕、朱怀忠、刘洪普、李娟
汇编语言程序设计,55233,清华大学,张悠慧、翟季冬
计算机应用基础,55116,陕西工业职业技术学院,宋承继、李莹、李龙龙
微软亚洲研究院大数据系列讲座,52832,Microsoft,洪小文、宋睿华、谢幸、郑宇、张洪宇
算法设计与分析,51349,清华大学,王振波
学做小程序——基础篇,51069,清华大学,刘强、小程序慕课讲师
大学计算机——计算思维的视角,49725,山东大学,郝兴伟
面向对象程序设计（C++）,49059,清华大学,黄震春、徐明星
数据科学导论,48674,清华大学,袁博、何隽
大学计算机基础,46907,湖北大学,卫春芳
基于Linux的C++,45903,清华大学,乔林
大学计算机基础,45115,华南理工大学,徐红云、刘欣欣、曹晓叶
计算机网络,44643,华南理工大学,袁华、杜广龙、张凌
JAVA程序设计进阶,42074,清华大学,许斌
Web开发技术,38319,重庆大学,陈静、王成良、祝伟华
计算几何,38155,清华大学,邓俊辉
程序设计基础（上）,36495,南开大学,赵宏、闫晓玉、李妍、王恺、李敏
大数据机器学习,35744,清华大学,袁春
ARM微控制器与嵌入式系统,35463,清华大学,曾鸣、薛涛、龚光华
R语言数据分析,35442,北京邮电大学,艾新波
单片机原理及应用,34773,绵阳职业技术学院,杨居义、王颖丽、蒲敏、向兵
程序设计基础（下）,32428,南开大学,赵宏、李妍、闫晓玉、王恺、李敏
高级大数据系统,31639,清华大学,王智
Python程序设计基础,31311,深圳信息职业技术学院,许志良
大学计算机基础,30512,南开大学,李敏、高裴裴、郭蕴、赵宏、刘哲理、路明晓、李妍、闫晓玉、宋丽培
移动快速应用开发,27496,芜湖职业技术学院,唐贤传、盛鸿宇、王婷婷、汤恒、胡万福
人工智能,26874,江西理工大学,罗会兰
数据库技术与程序设计,26799,南开大学,高裴裴、李敏、袁晓洁、赵宏、路明晓、康介恢、闫晓玉、李妍、郭蕴
Linux 内核分析与应用,25967,西安邮电大学,陈莉君、谢宝友、张天飞、王小银、刘霞林、张丽丽
科学计算与MATLAB语言,25359,中南大学,刘卫国、蔡旭晖、吕格莉、何小贤
网络安全概述,24948,学堂在线,纪平
区块链和加密数字货币,24841,清华大学,罗玫
互联网大规模数据分析技术,24692,武汉理工大学,李琳、张蕊
大学物理,24228,燕山大学,侯岩雪、张素红、赵原源、李子敬、王晓颖、王明利、韩振丽、丁喜峰
Foundations of Computer Graphics,23609,加州大学伯克利分校,Ravi Ramamoorthi
C语言程序设计（上）,23208,北京理工大学,李凤霞、陈宇峰、赵三元
C君带你玩编程,22942,昆明理工大学,方娇莉、潘晟旻、普运伟、耿植林、郭玲、田春瑾、刘领兵、黎志、杜文方、郑明雄
数据库系统（上）：模型与语言,22916,哈尔滨工业大学,战德臣
计算机操作系统,21479,南京大学,骆斌、葛季栋
Android应用开发基础,21408,深圳信息职业技术学院,赖红、李钦、李华忠
程序设计基础,20680,电子科技大学,吴劲、傅翀、吴佳、罗绪成、王瑞锦、张翔、张学、程红蓉、白忠建、陈伟、江春华
微机原理与接口技术,20549,西安交通大学,吴宁
软件理论基础,19973,清华大学,罗贵明
小波与科学,19624,哈尔滨工业大学,冉启文、严质彬、肖宇、张海莹、杨占文、李莉
大数据治理与政策,19227,清华大学,孟庆国、张楠、郑磊
智能车制作：嵌入式系统,18933,清华大学,曾鸣
智能车制作：电子技术,18210,清华大学,任艳频
C语言程序设计基础,18053,贵州理工学院,李丹、耿植、杨琼、高腾刚
学做小程序——实战篇：树洞小程序,17981,清华大学,刘强、施建锋、伊甸、小程序慕课讲师
数据结构与算法设计,17973,西安科技大学,张小艳、史晓楠、李占利、丁雪芳、冀汶莉、王昱哲、齐爱玲、杨晓强
计算机文化基础,17887,绵阳职业技术学院,杨居义
小白学人工智能,17823,华南理工大学,李粤
编译技术,17623,西安邮电大学,王曙燕、初建玮、王春梅、陈燕、黄茹、曾艳
软件设计模式,17064,中国科学技术大学,朱洪军
移动互联网开发,16700,江苏大学,朱轶
数据结构（Data Structures）,16550,华南理工大学,吕建明、张见威、肖南峰
SQL SERVER数据库技术,16412,陕西工业职业技术学院,刘引涛、戚娜、李俊、任婕
高级数据库系统,16087,北京工业大学,杜金莲
软件测试,15926,西北工业大学,郑炜、黄松、倪爱军、刘中、于婷婷、吴潇雪
C语言程序设计,15822,云南大学,丁海燕、胡盛
大学计算机,15736,北京理工大学,李凤霞、陈宇峰、赵三元
计算机通信网络,15468,西北工业大学,卢选民、闫中江、赵宏伟
物联网工程导论,14981,云南大学,普园媛、何乐生、余鹏飞、杨艳华、艾昌文、尉洪、常俊、周永录、刘宏杰
Java程序设计基础,14808,深圳信息职业技术学院,赖红、李钦、覃国蓉、魏勇
Petri网：模型、理论与应用,14520,清华大学,袁崇义、闻立杰、王建民
Linux系统管理,14208,宁波城市职业技术学院,颜晨阳
微软--计算机视觉论文分享课,12997,,
网络、群体与市场,12821,武汉理工大学,石兵
大数据算法,12808,哈尔滨工业大学,王宏志
玩转计算机二级—office高级修炼,12495,内蒙古师范大学,苟燕、王强、刘志国、侯欣舒
嵌入式系统设计,12486,电子科技大学,杨峰
数据库系统（中）：建模与设计,12029,哈尔滨工业大学,战德臣
信息安全技术,11942,哈尔滨工程大学,孙建国、赵国冬、兰海燕
数据库系统原理与开发,11619,电子科技大学,陆鑫、张凤荔、陈安龙
数据库系统（下）：管理与技术,11463,哈尔滨工业大学,战德臣
大学物理（力学）,11356,哈尔滨工业大学,孟庆鑫、韩权
C语言程序设计（下）,11218,北京理工大学,李凤霞、陈宇峰、薛庆、赵三元
深度学习基础,11180,哈尔滨工业大学,刘远超
程序设计基础,11024,哈尔滨工业大学,叶麟、苏小红、赵玲玲
软件工程与软件自动化,10953,北京理工大学,高玉金、王一拙
高级操作系统,10936,清华大学,陈渝
计算机程序设计基础,10802,清华大学,乔林
软件工程,10647,东北大学,张爽
大学计算机基础与应用,10637,燕京理工学院,李丽芬、邵芬红、韩海花、陈晓芳
Linux操作系统分析,10595,中国科学技术大学,孟宁
Python大数据分析,10481,山东大学,崔立真、鹿旭东、潘鹏
计算机网络 Computer Networks,10463,华南理工大学,王昊翔
Linux导论,10340,学堂在线,杰里•库伯斯坦
信息素养-互联网+时代的学习与生活,10224,滁州学院,陈桂林、赵生慧、于春燕、张志勇、徐志红、胡晓静
计算机控制导论,10195,山东大学,李东升
计算机绘图与CAD,10086,大连工业大学,张鹏
信息隐藏技术,9673,长安大学,任帅
北大AI公开课,9670,北京大学,雷鸣
This is AI,9592,学堂在线,IBM Research
智能设备应用开发（基于Android平台）,9366,山东商业职业技术学院,贾连芹、周倩、王军、徐红
计算机绘图,9354,宁波大红鹰学院,涂晶洁
计算机程序设计,9279,国防科技大学,周会平
Python语言程序设计,8585,浙江财经大学东方学院,杨洁、曲著伟、李在伟、周家地、卢永江、应芳琴、廖一星、刘毅、张铭
5G与人工智能,8567,湖北师范大学,胡白燕、王润
设计思维,8477,西安工程大学,刘静伟、孟浏今、厉谦、吴龙、薛媛
程序设计语言（C语言）,8167,湖北职业技术学院,李岚
Python爬虫入门实战,8125,清华大学,饶淙元
高性能计算机网络,8062,武汉理工大学,颜昕
数据挖掘,7961,天津大学,喻梅、王建荣、于健、徐天一、赵满坤、高洁、刘志强
媒体大数据挖掘与案例实战,7685,中国传媒大学,沈浩
计算机基础与应用,7650,云南财经大学,李春宏、徐娟、沙莉、玄文启、沈湘芸、何锋
计算机组成原理,7561,电子科技大学,纪禄平
微电子工艺,7521,哈尔滨工业大学,田丽、王蔚
计算思维导论,6953,广西科技大学,唐培和、徐奕奕
嵌入式系统理论与技术,6368,武汉科技大学,胡威、施青松
万物互联,6265,青海师范大学,杜秀娟
计算思维导论,6258,北京建筑大学,吕橙、万珊珊、邱李华、郭志强
嵌入式系统,6054,华南理工大学,毕盛、汪秀敏、毛爱华、唐杰
游戏程序设计,6029,清华大学,徐力、钟建斌、高璐、孙峻、王毅、兰翔、马若遥、王海龙、乔晨、黄健聪、陈志浩、周轩、赖贵雄、林智超、潘霖、晁阳、唐声福、曾毅、刘洋、陈明建、李波、祝清鲁、赵永伟、肖坚
Web设计与应用,5933,昆明理工大学,潘晟旻、方娇莉、姜迪、郭玲、普运伟、陈榕、张春红、刘领兵、田春瑾、耿植林、黎志
计算机辅助设计,5923,华南理工大学,方利国
“做中学”Java程序设计,5852,宁波城市职业技术学院,郑哲
液晶显示技术,5479,华南理工大学,王丹、姚日晖、郑奕娜
多媒体技术,5461,武汉大学,李晶、涂卫平、常军、陈江汉、韩镇
操作系统原理,5351,西安交通大学,田丽华
青年AI自强计划-计算机视觉课程,5298,清华大学,王明哲
单片机原理及应用,5094,湖北大学,李璋、田茂、姚静、黄汉华
互联网体系结构,4847,中国科学技术大学,孟宁、刘贵学
网络技术与应用实验,4804,中国人民解放军陆军工程大学,俞海英、沈鑫剡、李兴德、许继恒、李杰、张石磊、谢青
物联网概论,4744,清华大学,何源
智能车制作：底盘结构与调试,4731,北京科技大学,杨珏
软件工程,4679,武汉科技大学,张晓龙、刘茂福、赵红武、王磊、高峰
漏洞利用及渗透测试基础,4541,南开大学,刘哲理、张健、李敏、李兴娟、乜鹏
素描与体验——原理与形式研究,4470,西安美术学院,张元稼、刘沛、杨伟孝、董文通、胡涛、李恺
操作系统,4386,东北大学,张伟
Web安全实践,4330,中国科学技术大学,郭燕
EXCEL高级应用,4232,呼和浩特职业学院,王瑾瑜、索丽霞、陈一、吴淑清、王晓静
程序设计技术（基于C）-基础,4071,重庆大学,刘慧君、王茜、陈恒鑫、葛亮、曾令秋、杨瑞龙
智能控制导论,3986,昆明理工大学,刘辉、王彬、李俊丽、詹跃东
智能控制,3814,华北电力大学,黄从智
大数据可视化,3741,浙江大学,陈为、巫英才
操作系统(RISC-V),3336,清华大学,向勇、陈渝
高级语言程序设计,3310,湖北理工学院,祁文青、程细才、谢晋
虚拟现实技术及应用,2986,中国传媒大学,黄心渊、杨刚、孙国玉、李晓波、陈京炜
计算机网络,2967,河南科技大学,郑瑞娟、王琳、肖春宝、张明川、吴庆涛、朱军龙
单片机原理及应用,2921,浙江理工大学,鲍佳
3D游戏引擎架构设计基础,2880,华南理工大学,陈泽琳
计算方法,2682,北京科技大学,张晓丹、郑连存、卫宏儒、沈政伟、丁军
跟着案例循序渐进学习c,2670,山西大学,白妙青、王雪婴、张红艳、萧宝玮、王文剑
数据结构,2621,安徽工程大学,胡平
概率论与数理统计,2616,燕山大学,马占友、吕胜利、马金旺、王春艳、张彦
多媒体技术及应用,2603,华南理工大学,郭芬、林育蓓、陆芳
网络安全技术(上海高校精品课程),2401,学堂在线,贾铁军
PHP程序设计,2195,陕西工业职业技术学院,耿倩、党佳奇、雒江川、李俊、赵革委、蔡苏亚
Code+程序设计大赛习题讲解,2133,学堂在线,清华酒井算协
数据库技术应用,2030,内蒙古电子信息职业技术学院,赵祯、刘刚、孙凤龙、田雪
数据结构与算法,2005,吉林大学珠海学院,吕威、苏清朗、冯广慧、陈群、马蕊、曾志平
计算机是如何实现智能的,1785,清华大学,马少平
网页设计与地图应用,1757,湖北大学,李中元、梅新、杜晓初、成晓强
疾风计划2021【一年时间助你学通计算机专业】,1681,清华大学,郑莉、邓俊辉、李超、徐明星、王瑀屏、邬晓钧、黄震春、刘强、刘璘、王振波、向勇、陈渝、纪禄平、陈志刚、陆鑫、张凤荔、陈安龙、袁华、杜广龙、张凌、陈琼、马千里、陈伟能、胡劲松
Python 交互式程序设计导论,1626,新疆农业大学,张太红
网络安全技术,1590,南开大学,张玉
网络安全,1451,清华大学,曹家浩、郭润
程序设计技术(基于C)-提高与应用,1415,重庆大学,刘慧君、王茜、陈恒鑫、葛亮、曾令秋、杨瑞龙
数据结构与算法,1398,大连理工大学,刘馨月、于红、张淼
计算未来云讲坛（2020）——清华大学计算机系前沿系列讲座,1374,清华大学,刘知远、易鑫
数据科学：一种新的思维方式,1307,清华大学,袁博
软件测试与质量保证,1287,大连理工大学,周勇、朴勇
数据结构,1223,齐鲁工业大学,杨春花、刘国玲、李爱民、单建芳
计算机音乐,1183,北京邮电大学,李荣锋
全球股市下跌-加密数字货币是避险资产吗？,1178,清华大学,罗玫
数据库概论,1158,云南大学,张璇、包崇明、蔡莉
系统辨识,1143,北京工商大学,刘翠玲、赵峙尧
疫情防控，大数据分析大显身手,1136,清华大学,李国良
网络安全攻防入门：漏洞利用及渗透测试基础,1124,南开大学,刘哲理
计算机辅助飞行器综合设计,1113,西北工业大学,袁昌盛
计算机网络,1111,中南民族大学,侯睿、李艳红、毛腾跃、周斌、王飚、朱剑林
从感知智能到认知智能：深度学习再思考,1080,清华大学,邓志东
喜迎清华大学109周年校庆-软件学院系列线上活动,1047,国家发展与改革委员会,杜平、尉迟坚、王建民
闲话AI：自然语言理解难在那儿？,978,清华大学,刘知远
贵系特奖学霸：科研小白入门指北,933,清华大学,高天宇
个人计算机主要硬件介绍,905,清华大学,朱书琦
王者荣耀荆轲之模型到游戏开发,884,启迪阿加学院,于野、张永锋
C语言程序设计,875,新疆大学,赵楷、任疆红、孙晶、盛琪、曹为民、周鲁梅、楚发元、张振宇
C语言程序设计,825,宁夏大学,刘进锋
AutoCAD软件应用,819,陕西国防工业职业技术学院,徐秀娟、孙路、霍奕宇
C程序设计,773,西北工业大学,姜学锋、刘君瑞
C#程序设计,705,西北工业大学,刘君瑞、姜学锋
清华大数据应用实践：快速搭建基于数据的应用,695,清华大学,刘英博
安卓手机软件拼图式开发App   Inventor,668,广东开放大学,王杰
视觉无障碍智能交互,666,清华大学,史元春
大学计算机基础（艺术类）,631,云南艺术学院,史家银、杜文博、朱原良
不确定性时代的计算传播学研究,631,南京大学,王成军、张伦、许小可
Compilation Principle,570,哈尔滨工程大学,刘刚、付岩、曹雪、李丽洁、高迪
计算机病毒分析,524,南开大学,王志
人工智能,519,天津财经大学,陈钒
编译技术,516,大连理工大学,徐秀娟、贾棋、任志磊、江贺、刘馨月
C++程序设计,508,西北工业大学,魏英、姜学锋
理论和实践：自然语言处理,506,,
2020年中国科技峰会系列活动青年科学家沙龙,478,,
计算机系统架构的新挑战,461,清华大学,汪东升
复杂场景下的知识获取,449,清华大学,韩旭
用新数学做数据库,440,润乾软件,蒋步星
毕业季博硕论坛,425,清华大学,刘知远、潘欣、丁小可、梁鼎、张国鑫、张凯、叶明江、林会杰、曹曦、涂存超、杨植麟、庞海天、武彬
智能运维,409,清华大学,汤汝鸣、孟伟彬、苏亚、刘平
工业互联网大讲堂,403,中国工业互联网研究院,田野、严鹏飞
机器人的主动感知与行为学习,396,清华大学,孙富春
深度迁移学习在NLP当中的应用和实践,375,学堂在线,苏海波
数据到决策的框架：三个机器学习任务、三次结构转换,372,美国圣母大学,蒋朦
自动驾驶汽车电子控制系统工程师训练营,361,学堂在线,成波
Access程序设计基础,360,云南大学,梁洁、张泽华、崔燕妮、林玲
2020KDD顶会论文分享,356,美国伍斯特理工学院,任慧敏、李昂、晋嘉睿、窦英通、高峻逸、林禹臣、马辰
深度学习在推荐系统中的应用与发展,350,清华大学,王喆
2020年公派出国留学政策及项目,349,清华大学,国家留学基金委
C Programming,341,西北工业大学,汪芳、张秀伟、周果清、刘君瑞、魏英、姜学锋
推荐系统中的用户理解：偏好、意图、行为与满意度,331,清华大学,张敏
量子计算离我们还远吗？,317,清华大学,应明生、孙晓明、马雄峰、段润尧
清华大学之“贵系”万花筒,316,清华大学,刘潇、杨宗瀚、李晓涵、吴之璟、陈晟祺、高天宇
南开大学信息安全微专业发布会,316,,
Code+程序设计大赛颁奖典礼,314,,
疫情与5G,313,北京邮电大学,孙松林
快手商业用户体验Insight,310,清华大学,高小平
论道AI Open,308,,
高级机器学习训练营,304,学堂在线,唐杰
文献检索与论文写作,289,西北工业大学,武祥龙
算法支撑的赛博智能经济,286,清华大学,徐恪
“神威·太湖之光”超级计算机优化方法与应用简介,286,清华大学,甘霖
Database Technology and Programming,280,南开大学,高裴裴、李敏、袁晓洁、赵远红、康介恢
知识驱动：人才战略的未来,279,清华大学,张鹏
国际超算赛事称霸指南,277,清华大学,何家傲、陈晟祺
AI肖像画大师：生成对抗网络驱动的多风格艺术肖像画创作,276,清华大学,刘永进
浅谈面试中的算法题,272,清华大学,杨耀良、谢兴宇
计算机组成原理与系统结构,271,西安交通大学,李晨
The 2nd TBSI Workshop on Learning Theory,268,,
走向以人为本的人工智能：利用人工智能提高人类决策能力,266,科罗拉多大学波尔得分校,谭宸浩
网络安全博弈之路,265,清华大学,张超
为网络化系统设计智能可靠的优化算法,259,清华大学,黄隆波
推荐系统产品分享,259,学堂在线计算机学院,叶妃霞
ICACHI 云论坛系列,256,日本高知工科大学,任向实、付志勇、王建民、麻晓娟、袁晓君、李维、涂华伟、黄大源、杨兴栋、付志勇、Peter Scupelli、张黎
计算机视觉,250,北京邮电大学,鲁鹏
当微信邂逅NLP基础研究,249,清华大学,李鹏
低时延网络挑战赛：从5G和边缘计算到互联网,247,清华大学,崔勇
基于数据驱动的网络技术应用,244,清华大学,姜泽勋、焦立博、董加卿
教AI审合同——人工智能技术在法律领域的应用,240,清华大学,张天扬
知识疫图——AI+大数据在新冠肺炎知识智能服务中的应用,237,智谱·AI,张鹏
AI for Academic Search （人工智能助力学术搜索）,230,清华大学,唐杰、周园春、李涓子、刘筱敏 、刘雪峰、杜一、张鹏
基于神经网络建模的信息传播预测,224,清华大学,杨成
新冠疫情地图可视化的技术实践,224,清华大学,殷达
计算机网络技术,219,旷视科技有限公司,巩向锋、王亚晨、张楚文、万颖、郭润、张一铭、江逸敏、林耘森箫、王子逸
机器阅读理解：算法与实践,214,微软,朱晨光
用户导向的音视频体验优化,209,清华大学,马茗
法律智能,209,清华大学,钟皓曦
金融科技与量化分析,207,学堂在线,孟康健、刘英斐、汪浩、宋战江
算法训练营,204,清华大学,邓俊辉
深度学习框架的移动端优化,203,旷视科技有限公司,曾平、杨滔
基于图神经网络的事实验证,203,清华大学,周界
面向移动与边缘设备的人工智能系统,197,北京大学,徐梦炜
程序设计,191,西南财经大学,李自力
C Programming,189,云南大学,丁海燕、胡盛
Software Engineering,189,东北大学,张爽
人工智能基础核心技术之事件检测,184,清华大学,仝美涵
争相步入「情感计算」时代，你上车了吗？,181,中国科学院,陶建华、贾珈、金琴、宋睿华
知识图谱推理问答综述,180,清华大学,史佳欣
对话系统：过去、现在和未来,178,清华大学,黄民烈
解密旷视抗疫情AI体温产品——明骥,173,清华大学,胡晨
Web前端开发,173,陕西国防工业职业技术学院,何杰惠、孙瑜、苟彦昉
面向对象分析与设计,173,西北工业大学,张涛
计算机图形学,171,辽宁工程技术大学,孙劲光
Computer Networks,170,华南理工大学,王昊翔
清华大学计算机系1996级创新创业论坛,165,,
融合知识的预训练语言模型,165,清华大学,张正彦
HTML5 Mobile Front-end Development Foundation,164,深圳职业技术学院,刘小华、曾建华
滴滴语音技术,156,滴滴,滴滴-科技生态与发展部
Introduction to C++: Problem Solving Using Computational Thinking,155,南开大学,赵宏、郭蕴、路明晓、李妍、王刚、郭天勇、于刚、康介恢
复杂场景下的机器阅读理解,155,清华大学,林衍凯
商汤泰坦公开课模型量化专题,154,商汤科技,余锋伟、龚睿昊
时空大数据分析和挖掘实战,150,清华大学,袁海涛
数据结构与算法,150,北京交通大学,黄晓鸣
初探图神经网络在分子成药性估计中的应用,147,清华大学,裘捷中
Computer Fundamentals: Problem Solving Using Computational Think,145,南开大学,李敏、高裴裴、郭蕴、蔡庆琼、宋丽培
从入门到大神：疫情知识智能服务核心技术实践,145,智谱·AI,张鹏、曾奥涵、叶子逸、殷达、杜冀中
网络测量与管理,142,清华大学,周禹、郑智隆、王海博
“数据赋能”推动产业转型升级,137,清华大学,王建民、刘江川、顾维玺、田春华、王轶捷
EMNLP2020专场分享,135,天津大学,李健铨、关健、朱子宁
大规模在线教育中的知识智能,133,清华大学,于济凡
非易失内存在分布式存储领域的应用,132,清华大学,张凯
2020高校人工智能人才培养论坛,130,,
联邦智能和基于隐私保护的分布式机器学习,128,数牍科技,蔡超超、王昊昱
工业级推荐系统的特点与挑战,123,学堂在线计算机学院,张亚峰
表示学习的利与弊,120,伊利诺伊大学香槟分校,赵晗
Introduction to Artificial Intelligence,116,南开大学,王刚、李妍、康介恢、王恺
NLP应用中Transformer模型线上服务加速的业界实践,116,清华大学,方佳瑞
VR Experience and Panoramic Video Creation,114,南开大学,冯欢
C++编程训练营,113,学堂在线,郑莉、李超、徐明星
"CVPR2020""最佳论文""对cv领域的启发",113,清华大学,黄高
在线教学网络研讨会会议精彩回放,112,中国农业大学,张莉、赵宏、郑莉
从梯度信噪比来理解深度学习泛化性能为什么这么好,111,清华大学,刘锦龙
利用轨迹数据自动校准道路交叉口拓扑信息,111,学堂在线计算机学院,刘国平
智谱新冠流行预测大赛线上颁奖&AI TIME 线上分享,110,清华大学,李涓子、刘德兵、张鹏
自动化测试及修复神经网络翻译模型,110,北京大学,孙泽宇
疫情影响下求职的挑战与机遇,109,学堂在线,张杰
Computer-Aided Drug Design,106,暨南大学,孙平华、丁克、王玉强、陆小云、徐俊
基于搜索日志、多维度信息的新冠肺炎风险预测,104,清华大学,叶子逸、曾奥涵
任务导向型对话系统评测,102,清华大学,高信龙一
自监督学习在视觉场景中的研究新进展,102,香港中文大学,詹晓航、李顺恺
KdConv: 知识驱动的中文多轮对话数据集,98,清华大学,郑楚杰
MixText: Linguistically-Informed Interpolation of Hidden Space for Semi-Supervised Text Classification,91,佐治亚理工学院,陈佳奥
新冠疫情中新闻学术数据的获取及分析应用,91,智谱·AI,杜冀中
任务导向对话的数据和平台建设,90,清华大学,朱祺
计算机视觉在地图领域的应用,90,滴滴,滴滴-科技生态与发展部
Embedded Software Design,88,大连理工大学,赖晓晨、刘辉、申建建
CVPR2020竞赛经验分享会,80,滴滴,滴滴-科技生态与发展部
AI分割技术在快手平台的应用,80,清华大学,宋丛礼
对话系统中的个性化回复生成与异常输入检测,77,清华大学,郑银河
铸钢件铸造技术,76,浙江机电职业技术学院,邱葭菲、陈小红、王伟春、林波、巫红燕、王瑞权
低资源场景下的对话系统任务的模型定制,72,北京大学,宋伊萍
大数据管理与挖掘,70,西安工程大学,邵景峰
Graph Representation Learning for Drug Discovery,70,MILA,史晨策
对神经网络对抗鲁棒性正则化的认识,69,华南理工大学,温宇馨
计算机组织与结构,67,大连理工大学,赖晓晨、王洁、迟宗正
Brain Science and Advanced Imaging Techniques,66,西安交通大学,张明
度量和改进图信息在图神经网络中的使用,65,香港中文大学,侯逸帆
Engineering Responsible AI,64,清华大学,沈向洋
不止于准确性：使用CheckList为NLP模型的进行行为测试,59,华盛顿大学,吴彤霜
Introduction of Artificial Intelligence,58,哈尔滨工程大学,莫宏伟
北京邮电大学人工智能能力认证证书项目（002期）,57,北京邮电大学,李蕾、杨亚、李睿凡、周延泉、袁宝库
细粒度实体分类综述,57,清华大学,金海龙
基于神经隐变量模型的对话状态推理,57,南京航空航天大学,闵庆凯
结合词典的中文命名实体识别,55,复旦大学,李孝男
Java Object Oriented Programming,54,长安大学,单博炜
TIMME: Twitter Ideology-detection via Multi-task Multi-relational Embedding,53,加州大学洛杉矶分校,肖之屏
神经机器翻译中的曝光偏差，幻觉翻译与跨域稳定性,47,爱丁堡大学,王朝君
智能技术与系统,47,,
WWW 2020 | 探索资源约束的Contextual Bandits问题,47,学堂在线计算机学院,李卿阳、唐小程
轮式机器人入门,40,学堂在线,索毅
MySQL Database Programming,38,昆明理工大学,付湘琼、赵晓侠、杜文方、郝熙、刘领兵、潘晟旻、郑发鸿、寇卫利、李菊芳、张春红、张俊、张霖、马晓静
多领域端到端任务型对话系统研究分享,34,哈尔滨工业大学,覃立波
零基础晋级高级UI设计师（2020）,34,学堂在线,
探究句法信息对于基于句法距离的语言模型影响,31,西湖大学,杜文宇
计算机辅助绘图——Solid Edge ST,27,昆明理工大学,李世芸
深度学习训练营（测试）,19,清华大学,胡晓林
Ship,12,大连海事大学,孙建平、姜忻
机器学习训练营第2期,10,学堂在线计算机学院,张敏
自然语言处理训练营,8,学堂在线计算机学院,刘知远
深度学习原理与PyTorch实战,7,集智学园,张江
推荐系统训练营（第2期）,5,学堂在线计算机学院,张敏
深度学习训练营,5,学堂在线计算机学院,胡晓林
南开大学信息安全微专业（002期）,3,南开大学,
数据科学认证证书项目（2020年4期）,2,清华大学,袁博、王智、袁春、何隽、何隽
青少年编程能力培养计划,2,清华大学,郑莉、徐明星、邬晓钧、陈永强
北京邮电大学人工智能能力认证证书项目（003期）,2,北京邮电大学,
